iteration,design,reward,best_reward,CL,CDi,CM,L_D
0,design_0,-0.220907,-0.220907,0.174759,0.033421,-0.135892,5.2291
1,design_1,-2.104999,-0.220907,-0.034678,-0.010367,0.090710,3.3450
2,design_2,0.066960,0.066960,0.086776,0.015729,-0.049259,5.5170
3,design_3,-1.936949,0.066960,0.201001,0.057215,-0.170261,3.5131
4,design_4,-1.103866,0.066960,0.084237,0.019382,-0.038721,4.3461
5,design_5,-1.995994,0.066960,-0.041205,-0.011930,0.097273,3.4540
6,design_6,5.045567,5.045567,0.054298,0.005173,-0.010973,10.4956
7,design_7,1.405827,5.045567,-0.015442,-0.002252,0.056556,6.8558
8,design_8,-0.835076,5.045567,-0.130778,-0.028338,0.213983,4.6149
9,design_9,20.276131,20.276131,0.095107,0.003697,-0.098474,25.7261
10,design_10,13.316084,20.276131,0.143079,0.007624,-0.130279,18.7661
11,design_11,6.811176,20.276131,0.351349,0.028655,-0.326701,12.2612
12,design_12,1.882110,20.276131,0.039952,0.005449,-0.049350,7.3321
13,design_13,8.798516,20.276131,0.134994,0.009474,-0.117864,14.2485
14,design_14,1.676472,20.276131,0.205843,0.028884,-0.160023,7.1265
15,design_15,9.200885,20.276131,-0.105247,-0.007184,0.124323,14.6509
16,design_16,-32.833750,20.276131,0.033193,-0.001212,-0.018319,-27.3838
17,design_17,-4.224449,20.276131,-0.018987,-0.015493,0.074806,1.2256
18,design_18,-1.050059,20.276131,0.013255,0.003013,0.038040,4.3999
19,design_19,3.052000,20.276131,0.013651,0.001606,-0.015669,8.5020
20,design_20,19.431714,20.276131,-0.125597,-0.005048,0.177187,24.8817
21,design_21,-116.856425,20.276131,-0.074323,0.000667,0.110680,-111.4064
22,design_22,338.500946,338.500946,0.044328,0.000129,-0.032805,343.9509
23,design_23,1.497931,338.500946,0.407767,0.058689,-0.388260,6.9479
24,design_24,-117.801251,338.500946,0.045745,-0.000407,-0.034574,-112.3513
25,design_25,-281.954537,338.500946,-0.082282,0.000298,0.114476,-276.5045
26,design_26,-2.724598,338.500946,0.003491,0.001281,-0.004778,2.7254
27,design_27,11.567004,338.500946,-0.091324,-0.005367,0.169940,17.0170
28,design_28,5.929619,338.500946,-0.117811,-0.010353,0.149343,11.3796
29,design_29,25.880824,338.500946,0.095136,0.003037,-0.090149,31.3308
30,design_30,-27.449899,338.500946,0.035108,-0.001596,-0.011302,-21.9999
31,design_31,-1.643162,338.500946,-0.075912,-0.019941,0.117927,3.8068
32,design_32,-1.175976,338.500946,-0.165000,-0.038605,0.236342,4.2740
33,design_33,53.808974,338.500946,0.002290,0.000039,0.037544,59.2590
34,design_34,3.377138,338.500946,0.029992,0.003398,0.020822,8.8271
35,design_35,0.873054,338.500946,0.124280,0.019655,-0.119944,6.3231
36,design_36,6.603713,338.500946,-0.090914,-0.007542,0.109125,12.0537
37,design_37,4016.009039,4016.009039,0.062931,0.000016,-0.049114,4021.4590
38,design_38,0.495449,4016.009039,0.252318,0.042439,-0.238358,5.9454
39,design_39,2.680770,4016.009039,0.220916,0.027170,-0.213112,8.1308
40,design_40,51.221022,4016.009039,0.050019,0.000883,-0.049836,56.6710
41,design_41,-3.634861,4016.009039,-0.014404,-0.007936,0.047889,1.8151
42,design_42,3.377870,4016.009039,-0.048460,-0.005489,0.116118,8.8279
43,design_43,0.265313,4016.009039,-0.024076,-0.004212,0.047653,5.7153
44,design_44,-1.440869,4016.009039,0.263569,0.065742,-0.269087,4.0091
45,design_45,-2.047420,4016.009039,-0.112547,-0.033077,0.197212,3.4026
46,design_46,3.086003,4016.009039,-0.115182,-0.013494,0.156270,8.5360
47,design_47,52.182033,4016.009039,0.007994,0.000139,0.009722,57.6320
48,design_48,16.752405,4016.009039,-0.120379,-0.005422,0.165136,22.2024
49,design_49,-288.787360,4016.009039,0.004845,-0.000017,0.025635,-283.3374
50,design_50,-5.445930,4016.009039,-0.000037,-0.009052,0.035884,0.0041
51,design_51,0.141079,4016.009039,0.186119,0.033288,-0.142379,5.5911
52,design_52,10.032200,4016.009039,0.063472,0.004100,-0.070116,15.4822
53,design_53,5.206166,4016.009039,-0.102207,-0.009591,0.131410,10.6562
54,design_54,20.474125,4016.009039,0.070437,0.002717,-0.064995,25.9241
55,design_55,-16.801970,4016.009039,-0.036311,0.003199,0.027631,-11.3520
56,design_56,-148.266395,4016.009039,0.063885,-0.000447,-0.056500,-142.8164
57,design_57,18.395662,4016.009039,0.023081,0.000968,0.008270,23.8457
