eval,n_active,mean_best,median_best,p25_best,p75_best,min_best,max_best
0.0,4,45.38875014,42.52058402,31.67575719,56.23357697,28.86760055,67.64623198
10.0,4,22.61655711,21.77625828,14.58916262,29.80365276,14.30190246,32.61180941
20.0,4,21.61564223,21.64653296,14.58916262,28.67301256,14.30190246,28.86760055
30.1,4,15.15045852,13.41812818,11.82425920,16.74432751,9.69397510,24.07160264
40.1,4,9.36247689,7.98439204,5.31746785,12.02940108,5.27439828,16.20672520
50.1,4,5.94313313,5.84063923,4.99101199,6.79276036,4.14085313,7.95040093
60.1,4,4.17604238,3.56487664,1.81713700,5.92378202,1.62401532,7.95040093
70.1,4,2.06551281,0.84975812,0.69942971,2.21584122,0.30377570,6.25875928
80.1,4,0.28966223,0.23029694,0.14836184,0.37159734,0.13151534,0.56653971
90.2,4,0.17928742,0.15110498,0.14334690,0.18704550,0.12868973,0.28624999
100.2,4,0.17230709,0.13979399,0.13593496,0.17616612,0.12736825,0.28227213
110.2,4,0.16938064,0.13507715,0.13036488,0.17409290,0.12736825,0.28000001
120.2,4,0.16923529,0.13507715,0.13036488,0.17394755,0.12736825,0.27941862
130.2,4,0.16870908,0.13507715,0.13036488,0.17342135,0.12736825,0.27731379
140.3,4,0.16870908,0.13507715,0.13036488,0.17342135,0.12736825,0.27731379
150.3,4,0.15485167,0.13507715,0.13036488,0.15956393,0.12736825,0.22188414
160.3,4,0.14305242,0.13507715,0.13036488,0.14776469,0.12736825,0.17468715
170.3,4,0.14017404,0.13507715,0.13036488,0.14488630,0.12736825,0.16317361
180.3,4,0.14017404,0.13507715,0.13036488,0.14488630,0.12736825,0.16317361
190.3,4,0.14017404,0.13507715,0.13036488,0.14488630,0.12736825,0.16317361
200.4,4,0.13969911,0.13412728,0.13036488,0.14346151,0.12736825,0.16317361
210.4,4,0.13969911,0.13412728,0.13036488,0.14346151,0.12736825,0.16317361
220.4,4,0.13969911,0.13412728,0.13036488,0.14346151,0.12736825,0.16317361
230.4,4,0.13969911,0.13412728,0.13036488,0.14346151,0.12736825,0.16317361
240.4,4,0.13938568,0.13412728,0.13005146,0.14346151,0.12611455,0.16317361
250.5,4,0.13928701,0.13412728,0.12995278,0.14346151,0.12571985,0.16317361
260.5,4,0.13928701,0.13412728,0.12995278,0.14346151,0.12571985,0.16317361
270.5,4,0.13928701,0.13412728,0.12995278,0.14346151,0.12571985,0.16317361
280.5,4,0.13928701,0.13412728,0.12995278,0.14346151,0.12571985,0.16317361
290.5,4,0.13928701,0.13412728,0.12995278,0.14346151,0.12571985,0.16317361
300.5,4,0.13924693,0.13412728,0.12991271,0.14346151,0.12555956,0.16317361
310.6,4,0.13924693,0.13412728,0.12991271,0.14346151,0.12555956,0.16317361
320.6,4,0.13924693,0.13412728,0.12991271,0.14346151,0.12555956,0.16317361
330.6,4,0.13924693,0.13412728,0.12991271,0.14346151,0.12555956,0.16317361
340.6,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
350.6,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
360.6,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
370.7,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
380.7,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
390.7,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
400.7,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
410.7,4,0.13845444,0.13412728,0.12991271,0.14266902,0.12555956,0.16000363
420.8,4,0.13738944,0.13412728,0.12884772,0.14266902,0.12129958,0.16000363
430.8,4,0.13738944,0.13412728,0.12884772,0.14266902,0.12129958,0.16000363
440.8,4,0.13738944,0.13412728,0.12884772,0.14266902,0.12129958,0.16000363
450.8,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
460.8,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
470.8,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
480.9,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
490.9,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
500.9,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
510.9,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
520.9,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
531.0,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
541.0,4,0.13605677,0.13412728,0.12884772,0.14133634,0.12129958,0.15467294
551.0,4,0.13594349,0.13412728,0.12873444,0.14133634,0.12084647,0.15467294
