eval,n_active,mean_best,median_best,p25_best,p75_best,min_best,max_best
0.0,25,49.58198334,45.31414490,35.72112335,58.03771599,24.28788905,88.26269852
120.2,25,15.63002224,16.45759949,12.62612634,17.92861484,8.09241509,23.23701682
240.5,25,13.55078097,13.43537042,10.97178793,15.56290605,6.70386860,19.52247862
360.7,25,10.25699141,10.03662723,8.60932978,11.72483300,6.32951586,14.72819996
481.0,25,7.06699658,7.40003099,6.14216017,8.40977205,1.94193931,10.45823710
601.2,25,4.64970581,4.62602573,3.04247575,6.30225357,1.10076598,9.63808323
721.4,25,3.33621160,3.16203185,1.94193931,4.35583533,1.10076598,6.90485892
841.7,25,2.45874792,2.14485509,1.21164613,3.39081594,0.45678317,6.29513675
961.9,25,2.18297199,1.89501750,1.20686149,2.70293478,0.45678317,6.22907276
1082.1,25,1.76672083,1.39757553,0.82707898,2.32051623,0.16872398,5.30956378
1202.4,25,1.39294468,1.11155747,0.65638692,1.60217678,0.15975154,4.68143743
1322.6,25,1.12891758,0.90614510,0.43598517,1.43819600,0.12880827,3.89976289
1442.9,25,0.81548162,0.60946070,0.29236853,1.12354101,0.10891371,2.49666736
1563.1,25,0.61688194,0.39297290,0.21400151,0.87187879,0.10891371,1.86829268
1683.3,25,0.50935030,0.31259496,0.15578176,0.63191440,0.10891371,1.53169835
1803.6,25,0.40437120,0.25398199,0.13101795,0.46205654,0.10891371,1.32580637
1923.8,25,0.33019830,0.21886261,0.12584256,0.43933923,0.09707025,1.09451495
2044.1,25,0.29518714,0.18752890,0.11623216,0.37931163,0.09631167,0.98257977
2164.3,25,0.25099101,0.16231702,0.11444980,0.34731839,0.09631167,0.75304532
2284.5,25,0.23179485,0.14537962,0.11238979,0.29176363,0.09631167,0.70524401
2404.8,25,0.20698478,0.12384438,0.10796378,0.26498004,0.09473325,0.61682249
2525.0,25,0.19073143,0.11600883,0.10559553,0.17636606,0.09387441,0.61327735
2645.2,25,0.17656070,0.11524212,0.10241547,0.15525264,0.09215151,0.54484661
2765.5,25,0.16049848,0.11524212,0.10241547,0.15127616,0.09215151,0.47560154
2885.7,25,0.14891938,0.10935441,0.10126665,0.13061151,0.09030637,0.43319585
3006.0,25,0.13940091,0.10849834,0.10087113,0.12086182,0.09030637,0.35765399
3126.2,25,0.13306022,0.10849834,0.10047013,0.11963036,0.09013242,0.32714797
3246.4,25,0.12575353,0.10768594,0.09991223,0.11634576,0.09012087,0.28444553
3366.7,25,0.11921793,0.10661938,0.09956283,0.11477673,0.08920515,0.24081438
3486.9,25,0.11438801,0.10522707,0.09873877,0.11403899,0.08920515,0.24081438
3607.2,25,0.11179852,0.10382672,0.09789646,0.11128490,0.08874363,0.21404866
3727.4,25,0.10912637,0.10180205,0.09687806,0.10831533,0.08730276,0.19672722
3847.6,25,0.10677247,0.10180205,0.09429032,0.10621507,0.08612374,0.18570794
3967.9,25,0.10455639,0.10087973,0.09312087,0.10578437,0.08548447,0.17467347
4088.1,25,0.10287074,0.10006588,0.09271818,0.10547333,0.08466658,0.16327086
4208.3,25,0.10157957,0.09943075,0.09213967,0.10479074,0.08453430,0.15215866
4328.6,25,0.10047172,0.09876088,0.09092516,0.10470026,0.08404875,0.14565945
4448.8,25,0.09986770,0.09876088,0.09061806,0.10428934,0.08355308,0.14148175
4569.1,25,0.09911291,0.09797085,0.08987427,0.10389511,0.08324435,0.13782948
4689.3,25,0.09843674,0.09789632,0.08940810,0.10283911,0.08324435,0.13546883
4809.5,25,0.09790823,0.09748931,0.08918971,0.10191650,0.08299382,0.13292896
4929.8,25,0.09740702,0.09690990,0.08888782,0.10105773,0.08258016,0.13045919
5050.0,25,0.09683120,0.09627295,0.08871782,0.10019294,0.08258016,0.12817792
5170.3,25,0.09641534,0.09601826,0.08865400,0.09980835,0.08241113,0.12607524
5290.5,25,0.09602383,0.09522480,0.08848593,0.09914560,0.08241113,0.12462265
5410.7,25,0.09563900,0.09522480,0.08824060,0.09900132,0.08214622,0.12190588
5531.0,25,0.09530406,0.09510997,0.08795490,0.09839871,0.08205472,0.11968023
5651.2,25,0.09498466,0.09437459,0.08787233,0.09825301,0.08183754,0.11957555
5771.4,25,0.09467154,0.09420116,0.08754429,0.09748704,0.08180508,0.11856170
5891.7,25,0.09430067,0.09415361,0.08747065,0.09734631,0.08169795,0.11656834
6011.9,25,0.09396296,0.09397948,0.08726774,0.09718879,0.08155906,0.11586775
6132.2,25,0.09366491,0.09264149,0.08725255,0.09718665,0.08144889,0.11489404
6252.4,25,0.09341049,0.09264149,0.08713651,0.09703510,0.08144889,0.11419822
6372.6,25,0.09309586,0.09214082,0.08689132,0.09695397,0.08135720,0.11309386
6492.9,25,0.09282339,0.09154719,0.08675392,0.09679058,0.08122884,0.11151280
6613.1,25,0.09260169,0.09055992,0.08663677,0.09665025,0.08120470,0.11151280
6733.4,25,0.09235306,0.09038896,0.08660533,0.09645380,0.08110783,0.11116356
6853.6,25,0.09208864,0.09032430,0.08650987,0.09644213,0.08102386,0.11030617
6973.8,25,0.09193558,0.09031577,0.08643846,0.09621836,0.08098754,0.10984063
7094.1,25,0.09165345,0.09015544,0.08637860,0.09580595,0.08094162,0.10928785
7214.3,25,0.09140734,0.09008518,0.08593687,0.09563849,0.08084967,0.10901863
7334.5,25,0.09119611,0.08971847,0.08578010,0.09563849,0.08078112,0.10883089
7454.8,25,0.09094958,0.08928516,0.08552046,0.09544519,0.08069214,0.10869854
7575.0,25,0.09072278,0.08883599,0.08525761,0.09499447,0.08067294,0.10847604
7695.3,25,0.09053418,0.08855777,0.08514675,0.09461407,0.08063994,0.10844016
7815.5,25,0.09030224,0.08833038,0.08499933,0.09459940,0.08058275,0.10828129
7935.7,25,0.09010385,0.08801264,0.08492809,0.09455095,0.08058123,0.10826888
8056.0,25,0.08983616,0.08762190,0.08488788,0.09401644,0.08050819,0.10818352
8176.2,25,0.08967784,0.08722439,0.08479703,0.09350739,0.08048964,0.10813697
8296.5,25,0.08946749,0.08698821,0.08479703,0.09337813,0.08048964,0.10805061
8416.7,25,0.08922279,0.08673957,0.08473080,0.09298333,0.08048964,0.10793285
8536.9,25,0.08903616,0.08673957,0.08470957,0.09283717,0.08048964,0.10787754
8657.2,25,0.08886680,0.08645571,0.08469984,0.09272392,0.08048964,0.10778624
8777.4,25,0.08866176,0.08618343,0.08418661,0.09248646,0.08045983,0.10772775
8897.6,25,0.08850414,0.08589641,0.08418661,0.09211562,0.08045858,0.10767591
9017.9,25,0.08831518,0.08558045,0.08413813,0.09189734,0.08042797,0.10761815
9138.1,25,0.08816114,0.08529913,0.08413813,0.09164976,0.08042055,0.10750738
9258.4,25,0.08796226,0.08515042,0.08407844,0.09130987,0.08038071,0.10742304
9378.6,25,0.08779661,0.08485902,0.08387935,0.09101651,0.08034925,0.10736275
