eval,n_active,mean_best,median_best,p25_best,p75_best,min_best,max_best
0.0,37,52.40331595,48.68300069,40.49081925,60.19655324,18.01672308,110.06646125
70.4,37,52.40288582,48.68266227,40.49032530,60.19606062,18.01646549,110.06579331
140.7,37,5.63930906,5.96631997,4.18572185,7.21398164,0.39164119,8.79716221
211.1,37,3.83793865,3.80037628,2.35084816,5.23419289,0.16990706,6.60876881
281.5,37,3.10609278,3.25757925,1.46030463,4.66669443,0.11373015,6.07587393
351.8,37,2.65782505,3.00000000,1.08142931,3.88695731,0.11357221,6.04850885
422.2,37,2.46847295,2.01803235,1.02942503,3.69773182,0.11352272,6.02859223
492.6,37,2.37921149,2.00000000,1.00000000,3.60746444,0.11220020,6.02214205
562.9,37,2.23900695,2.00000000,1.00000000,3.00000000,0.11076645,5.96053793
633.3,37,2.18318992,2.00000000,1.00000000,3.00000000,0.10989457,5.96030823
703.6,37,2.16652499,2.00000000,1.00000000,3.00000000,0.10970073,5.95168458
774.0,37,2.12672061,2.00000000,1.00000000,3.00000000,0.10970073,5.95167579
844.4,37,2.06878798,1.51604499,1.00000000,3.00000000,0.10957817,5.95167579
914.7,37,2.05632767,1.51244881,1.00000000,3.00000000,0.10948859,5.95166898
985.1,37,2.04366132,1.49334930,1.00000000,3.00000000,0.10948859,5.95015778
1055.5,37,1.99264443,1.49327183,1.00000000,3.00000000,0.10947966,5.94964541
1125.8,37,1.98550945,1.49324768,1.00000000,3.00000000,0.10947966,5.94964541
1196.2,37,1.94819041,1.48499977,1.00000000,3.00000000,0.10947097,5.94964541
1266.6,37,1.86518473,1.33552907,1.00000000,3.00000000,0.10848002,5.94964129
1336.9,37,1.85416209,1.33552790,1.00000000,3.00000000,0.10846825,5.94963949
1407.3,37,1.81508670,1.33552790,1.00000000,2.66695860,0.10203609,5.94963871
1477.7,37,1.80428515,1.33552790,1.00000000,2.66690210,0.10203565,5.94963838
1548.0,36,1.84007565,1.37869155,1.00000000,2.75009137,0.10190332,5.94963823
1618.4,36,1.78831460,1.32768623,0.88138138,2.75005468,0.10181855,5.94953430
1688.8,36,1.76382945,1.32759837,0.48242537,2.75003881,0.10177843,5.94953430
1759.1,36,1.70775863,1.32759837,0.45777994,2.29512161,0.10176140,5.94953430
1829.5,36,1.62587030,1.16767609,0.37870852,2.09952774,0.10175488,5.94953430
1899.8,36,1.56880689,1.00000000,0.31338347,2.00923871,0.10175359,5.94952727
1970.2,36,1.56541227,1.00000000,0.29086621,2.00000000,0.10175289,5.94952727
2040.6,36,1.54521798,1.00000000,0.26824731,2.00000000,0.10175259,5.94952727
2110.9,36,1.51388960,1.00000000,0.23549123,2.00000000,0.10175246,5.94952727
2181.3,36,1.51182510,1.00000000,0.19816131,2.00000000,0.10175240,5.94952727
2251.7,36,1.47680003,1.00000000,0.18871479,2.00000000,0.10175240,5.94952727
2322.0,36,1.47258811,1.00000000,0.18423560,2.00000000,0.10175240,5.94952727
2392.4,36,1.41103627,1.00000000,0.17143744,2.00000000,0.10175240,5.94952727
2462.8,36,1.40973430,1.00000000,0.17135803,2.00000000,0.10175240,5.94952727
2533.1,36,1.40766514,1.00000000,0.17068081,2.00000000,0.10148880,5.94952054
2603.5,36,1.38475485,1.00000000,0.17020359,1.96160055,0.10060347,5.94952054
2673.9,36,1.37098694,1.00000000,0.16984125,1.96160055,0.10040598,5.94952054
2744.2,36,1.36402619,1.00000000,0.15854199,1.96160055,0.10040598,5.94952054
2814.6,36,1.30069791,1.00000000,0.15661963,1.53551676,0.10040598,5.94952054
2885.0,36,1.30065415,1.00000000,0.15640764,1.53549526,0.10040598,5.94952054
2955.3,36,1.30003443,1.00000000,0.15583655,1.53549525,0.10040598,5.94952054
3025.7,36,1.29304370,1.00000000,0.15557433,1.53549525,0.10040598,5.94952054
3096.0,36,1.28528059,1.00000000,0.15540884,1.53549525,0.10040598,5.94940832
3166.4,36,1.25141486,1.00000000,0.15530741,1.53534647,0.10040598,5.94940832
3236.8,36,1.24935429,1.00000000,0.15524381,1.53527440,0.10040598,5.94940832
3307.1,36,1.18869550,1.00000000,0.15396362,1.53524315,0.10040598,5.94940832
3377.5,35,1.18297197,1.00000000,0.13037719,1.67308667,0.10040598,5.94940832
3447.9,35,1.17328958,1.00000000,0.13034006,1.67308276,0.10040598,5.94940832
3518.2,35,1.17188404,1.00000000,0.12947290,1.67308105,0.09981427,5.94940832
3588.6,35,1.17110454,1.00000000,0.12935012,1.67308031,0.09975531,5.94940832
3659.0,35,1.16988517,1.00000000,0.12688024,1.67308000,0.09975445,5.94940832
3729.3,35,1.09449317,1.00000000,0.11892802,1.67308000,0.09975407,5.08716920
3799.7,35,1.09109369,1.00000000,0.11881958,1.67308000,0.09975390,5.08706372
3870.1,35,1.08325783,1.00000000,0.11637083,1.67308000,0.09975382,5.08701518
3940.4,35,1.05824909,1.00000000,0.11595111,1.67308000,0.09975379,5.08660999
4010.8,35,1.05807037,1.00000000,0.11575230,1.67308000,0.09975378,5.08630645
4081.2,35,1.05691489,1.00000000,0.11554254,1.67308000,0.09975378,5.08604801
4151.5,35,1.03958854,1.00000000,0.11460566,1.67308000,0.09975378,5.08580030
4221.9,35,1.03680536,1.00000000,0.11442176,1.67308000,0.09975291,5.08557120
4292.2,35,1.03523263,1.00000000,0.11419663,1.67308000,0.09975291,5.08542814
4362.6,35,1.03401112,1.00000000,0.11327108,1.67308000,0.09975291,5.08542814
4433.0,35,0.99363880,0.71312151,0.11321619,1.22501811,0.09975291,5.08538844
4503.3,35,0.98173597,0.65235087,0.11316449,1.22501811,0.09975291,5.08536331
4573.7,35,0.92611617,0.46157059,0.11303499,1.02417541,0.09975291,5.08534442
4644.1,35,0.87482026,0.46157059,0.11265757,1.02388652,0.09975291,5.08533066
4714.4,35,0.86906739,0.44854390,0.11237437,1.02386024,0.09968419,5.08531654
4784.8,35,0.85590785,0.44846624,0.11215480,1.02384548,0.09968419,5.08531654
4855.2,35,0.84215171,0.44846624,0.11211849,1.02381249,0.09968419,5.08528991
4925.5,35,0.82017767,0.42758223,0.11207918,1.02381235,0.09852436,5.08528991
4995.9,35,0.81846387,0.42754183,0.11204067,1.02381235,0.09846596,5.08528991
5066.3,35,0.81625887,0.42752268,0.11145705,1.02381235,0.09844355,5.08528155
5136.6,35,0.81512111,0.42750893,0.11138749,1.02380740,0.09843370,5.07843924
5207.0,35,0.78321631,0.40382263,0.11101271,1.00000000,0.09842938,5.06921973
5277.4,35,0.77507185,0.36926676,0.11098594,1.00000000,0.09636097,5.06921973
5347.7,35,0.76950109,0.36894769,0.10976813,1.00000000,0.09630198,5.06711522
5418.1,34,0.77766786,0.37478171,0.10931222,1.00000000,0.09624476,5.06711522
5488.4,34,0.77082305,0.27536121,0.10930819,1.00000000,0.09622630,5.06669582
5558.8,34,0.76678016,0.24943350,0.10930575,1.00000000,0.09621806,5.06669582
5629.2,34,0.73649764,0.23914448,0.10930454,1.00000000,0.09461595,5.06669582
5699.5,34,0.70340020,0.21400664,0.10930317,1.00000000,0.09461595,5.06669582
5769.9,34,0.70311143,0.21400394,0.10930251,1.00000000,0.09458609,5.06669582
5840.3,34,0.69775946,0.16880931,0.10929811,1.00000000,0.09458609,5.06669582
5910.6,34,0.69511127,0.16268027,0.10921584,1.00000000,0.09458115,5.06669582
5981.0,34,0.69237569,0.15487015,0.10897194,1.00000000,0.09458115,5.06618918
6051.4,34,0.69029017,0.14924630,0.10897132,1.00000000,0.09458115,5.06618918
6121.7,34,0.67591931,0.14828116,0.10897036,1.00000000,0.09458115,5.06618918
6192.1,34,0.67575047,0.14809654,0.10897036,1.00000000,0.09458114,5.06618918
6262.5,34,0.67537670,0.14807175,0.10894401,1.00000000,0.09458114,5.06618918
6332.8,34,0.66138833,0.14761116,0.10894373,1.00000000,0.09458114,5.06618918
6403.2,34,0.57709098,0.14726572,0.10894367,1.00000000,0.09458114,5.06618918
6473.6,34,0.57702925,0.14701644,0.10893339,1.00000000,0.09458114,5.06618918
6543.9,34,0.57592201,0.14690094,0.10893339,1.00000000,0.09458114,5.06618918
6614.3,34,0.57485979,0.14683076,0.10893339,1.00000000,0.09458114,5.06618918
6684.6,33,0.56100068,0.14218234,0.10881993,1.00000000,0.09458114,5.06618918
6755.0,33,0.55622898,0.13856064,0.10881993,1.00000000,0.09443645,5.06618918
6825.4,33,0.54328661,0.12853374,0.10881993,1.00000000,0.09403274,5.06618918
6895.7,33,0.54269322,0.12853374,0.10881993,1.00000000,0.09398793,5.06618918
6966.1,33,0.54227259,0.12853374,0.10881993,1.00000000,0.09388724,5.06618918
7036.5,33,0.54166026,0.12853374,0.10881993,1.00000000,0.09384228,5.06618918
7106.8,33,0.53117861,0.12467760,0.10881993,1.00000000,0.09342713,5.06618918
7177.2,33,0.52799437,0.12467683,0.10881993,1.00000000,0.09342160,5.06618525
7247.6,33,0.50715473,0.12467658,0.10521977,1.00000000,0.09339967,5.06554257
7317.9,33,0.50530997,0.12467658,0.10521961,1.00000000,0.09338417,5.06554257
7388.3,33,0.50422693,0.12374879,0.10461139,1.00000000,0.09337397,5.06554257
7458.7,33,0.49792632,0.12281537,0.10447623,1.00000000,0.09336718,5.06554257
7529.0,33,0.49600295,0.12280920,0.10447623,1.00000000,0.09336260,5.06554257
7599.4,31,0.52076967,0.12265569,0.10505462,1.00000000,0.09335946,5.06554257
7669.8,31,0.52033343,0.12115458,0.10505462,1.00000000,0.09335724,5.06554257
7740.1,31,0.52022449,0.12114912,0.10502323,1.00000000,0.09335558,5.06554257
7810.5,31,0.50850262,0.12114738,0.10502322,1.00000000,0.09335420,4.74855226
7880.8,31,0.46721604,0.12114384,0.10502322,1.00000000,0.09335269,3.46906762
7951.2,31,0.41924793,0.12114022,0.10502321,1.00000000,0.09335269,2.00000000
8021.6,31,0.41917583,0.12113588,0.10502321,1.00000000,0.09335269,2.00000000
8091.9,31,0.41874712,0.12113588,0.10502321,1.00000000,0.09335269,2.00000000
8162.3,31,0.41855299,0.12104599,0.10502294,1.00000000,0.09335269,2.00000000
8232.7,31,0.41851955,0.12103859,0.10502294,1.00000000,0.09335269,2.00000000
8303.0,31,0.41818406,0.12101409,0.10502052,1.00000000,0.09335269,2.00000000
8373.4,31,0.38677392,0.12099123,0.10502052,0.62659202,0.09335269,2.00000000
8443.8,31,0.38674184,0.12099123,0.10502052,0.62657900,0.09332779,2.00000000
8514.1,30,0.39614841,0.12238969,0.10573599,0.81328950,0.09329051,2.00000000
8584.5,30,0.39614799,0.12238596,0.10573599,0.81328950,0.09329051,2.00000000
8654.9,30,0.39219623,0.12024670,0.10573597,0.81328950,0.09329051,2.00000000
