eval,n_active,mean_best,median_best,p25_best,p75_best,min_best,max_best
0.0,14,14.42536811,13.29319374,10.26182969,17.53378865,9.00304150,23.63993743
12.0,14,7.78115568,8.85193609,4.30292819,9.73879205,2.35160031,14.27221311
24.1,14,7.78103039,8.85193609,4.30257472,9.73879205,2.35160031,14.27221311
36.1,14,6.73575376,7.64678394,3.38086183,9.67942581,0.26127733,11.84325405
48.1,14,6.51662717,6.90333282,3.38086183,9.67942581,0.26119460,11.84325405
60.2,14,6.44174417,6.80101935,3.38086183,9.67942581,0.21384142,11.84325405
72.2,14,6.04331529,6.80101935,1.70678284,9.67942581,0.21374840,11.84325405
84.2,14,6.03826745,6.80101935,1.70678284,9.67942581,0.21374840,11.84325405
96.2,14,5.68308339,6.80101935,1.70112483,9.10312534,0.21374840,11.27354130
108.3,14,5.31173176,5.19620283,1.68421139,9.10312534,0.21365532,11.27354130
120.3,14,5.11433278,5.19620283,0.56696554,9.10312534,0.21365532,11.27354130
132.3,14,4.92898846,4.72831226,0.45193260,8.99397597,0.21356218,11.27354130
144.4,14,4.91434307,4.71933393,0.44440631,8.99334361,0.12687983,11.27354130
156.4,14,4.69018582,4.65113811,0.38927868,8.73956605,0.12462770,10.64587607
168.4,14,4.65619216,4.65113811,0.27273244,8.73956605,0.12461845,10.64587607
180.5,14,4.61843945,4.65113811,0.25037177,8.73956605,0.12461845,10.64587607
192.5,14,4.61383443,4.65113811,0.24953793,8.73956605,0.11935771,10.64587607
204.5,14,4.60325522,4.65113811,0.20910910,8.73956605,0.11261370,10.64587607
216.5,14,4.28209400,3.14044216,0.18466248,7.74858010,0.11126573,10.64587607
228.6,14,4.22028253,3.00742106,0.18329264,7.74858010,0.11101545,10.64587607
240.6,14,3.98080394,2.23337959,0.16916010,7.66840819,0.11101545,10.64587607
252.6,14,3.98031384,2.23337959,0.16709526,7.66840819,0.11101545,10.64587607
264.7,14,3.97965711,2.23337959,0.16529133,7.66840819,0.10824067,10.64587607
276.7,14,3.97934777,2.23337959,0.16371035,7.66840819,0.10763554,10.64587607
288.7,14,3.97930273,2.23337959,0.16361474,7.66840819,0.10763554,10.64587607
300.8,14,3.85507377,1.41364047,0.13702934,7.66840819,0.10746048,10.64587607
312.8,14,3.81466896,1.39292044,0.13626194,7.63744066,0.10746048,10.64587607
324.8,14,3.81377081,1.39292044,0.13309005,7.63744066,0.10488320,10.64587607
336.8,14,3.54570424,1.17022549,0.12281430,7.53451126,0.10449949,9.45314494
348.9,14,3.43010488,0.36198847,0.12280666,7.53451126,0.10264249,9.45314494
360.9,14,3.42767689,0.35844068,0.11836921,7.53451126,0.10218960,9.45314494
372.9,14,3.42708416,0.35728447,0.11657401,7.53300459,0.10091947,9.45314494
385.0,14,3.39938443,0.16373745,0.11657387,7.53247840,0.10091947,9.45314494
397.0,14,3.38101630,0.15567422,0.11649219,7.35609021,0.10091947,9.45314494
409.0,14,3.37979993,0.14932616,0.11645936,7.35407884,0.10022502,9.45314494
421.1,14,3.34294247,0.14414769,0.11645936,6.97508984,0.10022502,9.45314494
