env,task,GA,BO_torch,cmaes,lbfgsb,v3_dynamic_optimizer,openevolve,shinka
BlendedNet,multipoint_mach_cd,,-5.0,,,,-0.00626,0.107607
BlendedNet,multipoint_mach_range,,-5.0,,,,26.156407,32.458091
BlendedNet,range_optimization,,-5.0,,,,23.701021,27.526524
BlendedNet,shapebench_5,-0.004246,-0.004367,-0.004263,-0.005184,48.74786,30.692014,34.510365
BlendedNet,shapebench_5_max_LD,46.210646,47.839908,46.187946,66.886351,48.74786,30.692014,34.510365
BlendedNet,shapebench_5_max_LD_total_drag,63.786583,63.904017,68.949634,66.886351,,25.456335,29.720985
BlendedNet,shapebench_5_max_LD_warmstart_cornerA,48.740016,,48.504578,,48.74786,,
BlendedNet,shapebench_5_total_drag,-0.003665,-0.003416,-0.003251,-0.006694,-0.003314,-0.008239,-0.00646
BlendedNet,shapebench_5_total_drag_constrained,-0.006035,-0.006739,-0.005885,,-0.006301,-0.013627,-0.010722
BlendedNet,shapebench_case5,,,-5.0,,,-0.007764,0.0
BlendedNet,shapebench_case6,,,,-5.0,,,
BlendedNet,static_margin_constrained,,-5.0,,,,-0.205259,-0.15876
CCA,task1_l_d,26.852402,43.22405,37.506279,33.519787,84.748278,31.270346,32.455942
Ceras,fuel_mass,-16677.679025,-16677.879359,-16680.718162,-16728.828942,-16981.155583,-18399.61561,
DrivaerStar,cd_cl_constrained_vtk_E,,-0.07046,,,-0.100356,-0.316024,-0.130036
DrivaerStar,cd_cl_constrained_vtk_F,,-0.036038,,,-0.07674,-0.291248,-0.075744
DrivaerStar,cd_cl_constrained_vtk_N,,-0.06945,,,-0.07879,-0.200777,-0.121903
DrivaerStar,cd_only,,-0.065094,,,-0.065158,-0.129943,0.0
DrivaerStar,cd_only_super_tight_bounds_vtk_E,,-0.156824,,,-0.156757,,
DrivaerStar,cd_only_tight_bounds_vtk_E,,-0.113992,,,-0.113894,,
DrivaerStar,cd_only_tightened_bounds_vtk_E,,-0.113992,,,-0.113894,-0.19638,-0.158816
DrivaerStar,cd_only_vtk_E,-0.065264,-0.065094,,-0.066184,-0.065158,-0.193546,0.0
DrivaerStar,cd_only_vtk_F,,-0.030645,,,-0.033841,-0.152072,-0.069891
DrivaerStar,cd_only_vtk_N,,-0.049557,,,-0.068082,-0.158488,0.0
DrivaerStar,downforce_efficiency_vtk_E,,2.365559,,,2.377215,0.248774,0.855105
DrivaerStar,downforce_efficiency_vtk_F,,3.905117,,,3.914132,0.094786,1.248463
DrivaerStar,downforce_efficiency_vtk_N,,2.528024,,,2.032423,0.309163,1.111079
NeuralFoil,ld_ratio_constrained_m02_re1e7_normalized,,273.995201,,,352.779576,,
NeuralFoil,reward_exact_notebook,-0.079339,-0.094424,,-0.082562,-0.078966,,
SuperSonic_Transport_aircraft,ld_ratio,7010.635811,140.208464,,94.858901,21471224.665182,58.126098,105.727809
SuperSonic_Transport_aircraft,ld_ratio_basic,84218632.88843,140.208464,,889.803188,233438.956429,277.873899,1760.290356
SuperSonic_Transport_aircraft,ld_ratio_m12_a20,374173.912586,60.995556,,73.578815,306755.385015,124.097517,1346.16988
SuperSonic_Transport_aircraft,ld_ratio_m15_a35,1731301.963411,766.789983,,276.024507,2162.531379,79.58597,128.255832
SuperSonic_Transport_aircraft,ld_ratio_m18_a15,30395.209296,50.064431,,45.189043,52603.436485,111.53449,418.706359
SuperSonic_Transport_aircraft,multipoint_avg_drag_reduction,338312794771.6172,76.334145,,316.426405,1202682.664582,5.231938,25399916.610894
SuperSonic_Transport_aircraft,single_pt_ld,1547109.977871,6.915255,,60230.599056,15551960.792008,47.062765,3420.227475
SuperSonic_Transport_aircraft,single_pt_ld_m12_a20,161840.427922,38.50314,,189.146771,1318425.825144,56.397877,129.379615
SuperSonic_Transport_aircraft,single_pt_ld_m15_a30,382443.146331,1.879347,,2.970131,10291.576024,1.436214,207.618631
SuperSonic_Transport_aircraft,single_pt_ld_m18_a15,43597.012534,9.778307,,4805.672398,3104.559209,4886.466812,6728.919344
SuperSonic_Transport_aircraft,sub_max_ld_cl,178597511.027453,146.490781,,146.846882,428207.184121,279.529769,1026.075598
SuperSonic_Transport_aircraft,sub_max_ld_cl_m12_a20,13354998.685194,381.537167,,72.919068,1968374.507469,285.449075,2373.252002
SuperSonic_Transport_aircraft,sub_max_ld_cl_m15_a25,55315.024467,265.543818,,74.94086,16006.643174,100.580803,1429.908935
SuperSonic_Transport_aircraft,sub_max_ld_cl_m15_a35,540363.391239,54.574046,,43.267747,540699.361413,50.187441,523.735639
SuperSonic_Transport_aircraft,sub_min_cd_cl,-0.001916,-0.003505,,-0.002009,5.416581,-0.002554,4.7522
SuperSonic_Transport_aircraft,sub_min_cd_cl_m12_a20,6.237471,80.479015,,-0.001487,0.328553,2.214399,41121.754875
SuperSonic_Transport_aircraft,sub_min_cd_cl_m15_a25,-0.002016,-0.003469,,-0.003816,-0.002163,0.003168,117.41111
SuperSonic_Transport_aircraft,sub_min_cd_cl_m15_a35,78.211436,-0.005654,,-0.005864,0.364541,0.046048,7.444266
SuperSonic_Transport_aircraft,weighted_ld_cl,151089692.150752,35.963745,,35.501976,336498.944231,149.655516,152943.869419
SuperSonic_Transport_aircraft,weighted_ld_cl_balanced_m12_a20,100306.927475,123936280212.87933,,43.32528,36449.056938,149.225761,696.65669
SuperSonic_Transport_aircraft,weighted_ld_cl_clheavy_m15_a35,2549.915544,18.355607,,21.956629,378.032712,28.011754,80236.907036
SuperSonic_Transport_aircraft,weighted_ld_cl_ldheavy_m15_a25,42497.199123,45.608653,,38.055853,26844647.435769,1539.141676,208243234.431392
Superwing,sw_001,60.257496,290.358283,,50.044005,13.514915,9.970803,8.471634
Superwing,sw_002,56.070626,290.358283,,50.044005,12.063208,8.451258,6.712233
Superwing,sw_003,-0.004938,-0.014913,,-0.006041,-0.042266,-0.051447,0.0
Superwing,sw_004,-0.014775,-0.021311,,-0.007394,-0.165096,-0.147644,0.0
Superwing,sw_005,-0.022072,-0.039185,,-0.009435,-0.674205,-0.297194,0.0
Superwing,sw_006,-0.071686,-0.058746,,-0.344158,-0.534865,-0.706197,0.0
Superwing,sw_007,-0.01141,-0.011467,,-0.014489,-0.015245,-0.011731,0.0
Superwing,sw_008,-0.019534,-0.021121,,-0.025971,-0.026929,-0.027576,0.0
Superwing,sw_009,-0.040907,-0.037596,,-0.074086,-0.06887,-0.061712,0.0
Superwing,sw_010,-0.034377,-0.034423,,-0.056101,-0.057489,-0.056778,0.0
Superwing,sw_011,27.295554,87.7756,,38.087694,24.637445,33.338001,23.762922
Superwing,sw_012,13.055839,15.421436,,-5.0,-5.0,12.230101,7.726799
Superwing,sw_013,16.320137,31.338958,,36.328877,11.032729,9.430868,10.765252
Superwing,sw_014,8.323769,11.409326,,8.801623,7.04442,6.405486,6.131878
Superwing,sw_015,-0.045189,-0.027526,,-0.042123,-0.041284,-0.040092,0.0
Superwing,sw_016,-0.036787,-0.0177,,-0.025814,-0.028692,-0.024776,0.0
Superwing,sw_017,-0.038989,-0.025029,,-0.035159,-0.035827,-0.035711,0.0
Superwing,sw_018,-0.048,-0.033836,,-0.042611,-0.041365,-0.035244,0.0
Superwing,sw_019,-0.043217,-0.031514,,-0.035556,-0.03626,-0.032213,0.0
Superwing,sw_020,-0.059294,-0.041228,,-0.048347,-0.04212,-0.047725,0.0
Superwing,sw_021,12.460312,24.23036,,24.463654,14.239081,17.195866,17.024102
Superwing,sw_022,11.554472,18.641967,,19.010974,10.911656,13.866029,14.013747
Superwing,sw_023,11.85546,15.238535,,11.880279,9.542469,12.05972,10.09291
Superwing,sw_024,10.928413,20.475347,,18.075364,11.143399,13.330817,12.941021
Superwing,sw_025,10.125875,21.585774,,17.069456,10.925695,12.143433,12.537009
Superwing,sw_026,9.408286,26.18369,,26.824429,13.225047,13.340806,15.342308
Superwing,sw_027,9.921918,19.928386,,23.36686,11.128112,12.889105,12.261135
Superwing,sw_028,9.677436,22.169586,,22.246854,10.119454,11.560423,10.637773
Superwing,sw_029,9.021999,20.086802,,22.312664,10.961796,10.030166,8.962281
Superwing,sw_030,13.465281,24.086242,,25.972668,16.830569,19.478881,18.93543
VortexNet,ld_ratio,5.971848,5.971844,5.971848,5.947138,5.971845,,
VortexNet,max_kn,0.726588,0.724142,0.726959,0.421711,0.723994,,
VortexNet,multi_cl_min_cd_sub,-0.058673,-0.058696,-0.058673,-0.063451,-0.058674,,
VortexNet,single_pt_ld,0.521848,0.521844,0.521848,0.497138,0.521781,,
VortexNet,sub_max_ld_cl,26.827805,26.827805,26.827932,24.454842,26.827853,,
VortexNet,sub_max_ld_cm,-45.591124,-45.657546,-45.589794,-45.650666,,,
VortexNet,sub_min_cd_cl,-0.025859,-0.025859,-0.025859,-0.030651,-0.025859,,
VortexNet,sub_min_cd_cl_cm,-44.575333,-44.576097,-44.575344,-44.974605,-5.0,,
VortexNet,sub_min_cd_kn,-0.025859,-0.025859,-0.025859,-0.030651,-0.025859,,
VortexNet,two_pt_multi,7.271956,7.271956,7.271962,7.228315,7.271957,,
