Env A,Env B,Spearman ρ,p-value,Significant
CCA,DrivaerStar,-1.0,0.0,True
NeuralFoil,Superwing,-1.0,0.0,True
Superwing,VortexNet,-0.8,0.2,False
BlendedNet,DrivaerStar,-0.6,0.4,False
SuperSonic_Transport_aircraft,Superwing,-0.429,0.3965,False
DrivaerStar,VortexNet,-0.4,0.6,False
Ceras,NeuralFoil,-0.4,0.6,False
Ceras,VortexNet,-0.3,0.6238,False
CCA,Ceras,-0.25,0.5887,False
BlendedNet,NeuralFoil,-0.2,0.8,False
DrivaerStar,NeuralFoil,-0.2,0.8,False
CCA,SuperSonic_Transport_aircraft,-0.143,0.7872,False
CCA,Superwing,-0.086,0.8717,False
Ceras,Superwing,0.143,0.7872,False
CCA,NeuralFoil,0.2,0.8,False
BlendedNet,Ceras,0.2,0.7471,False
DrivaerStar,Superwing,0.2,0.8,False
BlendedNet,SuperSonic_Transport_aircraft,0.2,0.8,False
BlendedNet,Superwing,0.2,0.8,False
DrivaerStar,SuperSonic_Transport_aircraft,0.2,0.8,False
BlendedNet,VortexNet,0.3,0.6238,False
Ceras,SuperSonic_Transport_aircraft,0.429,0.3965,False
CCA,VortexNet,0.5,0.391,False
BlendedNet,CCA,0.6,0.2848,False
NeuralFoil,SuperSonic_Transport_aircraft,0.6,0.4,False
Ceras,DrivaerStar,0.8,0.2,False
NeuralFoil,VortexNet,0.8,0.2,False
SuperSonic_Transport_aircraft,VortexNet,0.8,0.2,False
