Problem,Env,#Methods,Best Family,Worst Family,Best Value,Worst Value
CCA/task1_l_d,CCA,7,LLM (v3),GA,84.7483,26.8524
Ceras/fuel_mass,Ceras,7,Shinka,OpenEvolve,-2673.679,-18399.6156
Superwing/sw_024,Superwing,6,BO,GA,20.4753,10.9284
SuperSonic_Transport_aircraft/weighted_ld_cl_ldheavy_m15_a25,SuperSonic_Transport_aircraft,6,Shinka,L-BFGS-B,208243234.4314,38.0559
SuperSonic_Transport_aircraft/weighted_ld_cl_clheavy_m15_a35,SuperSonic_Transport_aircraft,6,Shinka,BO,80236.907,18.3556
SuperSonic_Transport_aircraft/weighted_ld_cl_balanced_m12_a20,SuperSonic_Transport_aircraft,6,BO,L-BFGS-B,123936280212.8793,43.3253
SuperSonic_Transport_aircraft/weighted_ld_cl,SuperSonic_Transport_aircraft,6,GA,L-BFGS-B,151089692.1508,35.502
SuperSonic_Transport_aircraft/sub_min_cd_cl_m15_a35,SuperSonic_Transport_aircraft,6,GA,L-BFGS-B,78.2114,-0.0059
SuperSonic_Transport_aircraft/sub_min_cd_cl_m15_a25,SuperSonic_Transport_aircraft,6,Shinka,L-BFGS-B,117.4111,-0.0038
Superwing/sw_002,Superwing,6,BO,Shinka,290.3583,6.7122
Superwing/sw_001,Superwing,6,BO,Shinka,290.3583,8.4716
SuperSonic_Transport_aircraft/sub_min_cd_cl,SuperSonic_Transport_aircraft,6,LLM (v3),BO,5.4166,-0.0035
SuperSonic_Transport_aircraft/sub_min_cd_cl_m12_a20,SuperSonic_Transport_aircraft,6,Shinka,L-BFGS-B,41121.7549,-0.0015
SuperSonic_Transport_aircraft/sub_max_ld_cl_m15_a35,SuperSonic_Transport_aircraft,6,LLM (v3),L-BFGS-B,540699.3614,43.2677
SuperSonic_Transport_aircraft/sub_max_ld_cl_m15_a25,SuperSonic_Transport_aircraft,6,GA,L-BFGS-B,55315.0245,74.9409
SuperSonic_Transport_aircraft/single_pt_ld_m18_a15,SuperSonic_Transport_aircraft,6,GA,BO,43597.0125,9.7783
SuperSonic_Transport_aircraft/single_pt_ld_m15_a30,SuperSonic_Transport_aircraft,6,GA,OpenEvolve,382443.1463,1.4362
SuperSonic_Transport_aircraft/sub_max_ld_cl_m12_a20,SuperSonic_Transport_aircraft,6,GA,L-BFGS-B,13354998.6852,72.9191
SuperSonic_Transport_aircraft/sub_max_ld_cl,SuperSonic_Transport_aircraft,6,GA,BO,178597511.0275,146.4908
SuperSonic_Transport_aircraft/single_pt_ld,SuperSonic_Transport_aircraft,6,LLM (v3),BO,15551960.792,6.9153
SuperSonic_Transport_aircraft/single_pt_ld_m12_a20,SuperSonic_Transport_aircraft,6,LLM (v3),BO,1318425.8251,38.5031
SuperSonic_Transport_aircraft/multipoint_avg_drag_reduction,SuperSonic_Transport_aircraft,6,GA,OpenEvolve,338312794771.6172,5.2319
SuperSonic_Transport_aircraft/ld_ratio_m18_a15,SuperSonic_Transport_aircraft,6,LLM (v3),L-BFGS-B,52603.4365,45.189
SuperSonic_Transport_aircraft/ld_ratio_m12_a20,SuperSonic_Transport_aircraft,6,GA,BO,374173.9126,60.9956
SuperSonic_Transport_aircraft/ld_ratio_m15_a35,SuperSonic_Transport_aircraft,6,GA,OpenEvolve,1731301.9634,79.586
SuperSonic_Transport_aircraft/ld_ratio,SuperSonic_Transport_aircraft,6,LLM (v3),OpenEvolve,21471224.6652,58.1261
SuperSonic_Transport_aircraft/ld_ratio_basic,SuperSonic_Transport_aircraft,6,GA,BO,84218632.8884,140.2085
Superwing/sw_028,Superwing,6,L-BFGS-B,GA,22.2469,9.6774
Superwing/sw_027,Superwing,6,L-BFGS-B,GA,23.3669,9.9219
Superwing/sw_030,Superwing,6,L-BFGS-B,GA,25.9727,13.4653
