car_size,car_width,car_len,ramp_angle,front_bumper_length,wind_screen_x,wind_screen_z,side_mirrors_x,side_mirrors_z,rear_window_x,rear_window_z,trunklid_angle,trunklid_x,trunklid_z,diffusor_angle,car_green_house_angle,car_front_hood_angle,car_air_intake_angle,tires_diameter,tires_width
1.158032051120232886e+00,3.267343043834350369e-02,-5.173050720139654723e-03,7.948091774789265429e+00,-5.703418575672934004e-02,-2.036545205950026846e-02,2.874728089231295969e-02,3.784437749503893889e-02,-1.857094662035475852e-02,-4.070449468893355682e-02,-3.304637514285453659e-02,-2.213862375910371938e+00,-3.143071856640908962e-02,2.987733563175262730e-02,1.421515327048687993e-01,1.336613755259019598e+00,-5.566260903728929677e+00,1.355748370778599110e+00,6.453653029819204565e-03,3.382334276587350974e-03
1.098246330068036736e+00,-2.521932660563015738e-02,-6.615933536136403559e-02,4.868956875323481981e+00,-5.890104630051443135e-02,-3.081762644401753182e-02,2.633187680875108405e-02,2.757829764981990783e-02,-3.133317022793058459e-02,-3.332472612501299891e-02,4.842426518631028076e-02,3.709244198343839116e+00,5.185268802429351953e-03,-8.996341949473005140e-03,-6.212597294270690185e+00,-7.621224193132233538e+00,2.186377849353169367e+00,-7.397806945170954052e+00,-6.441389790010389194e-04,-1.752687735841616107e-03
8.791401303300512282e-01,-1.728411665918760942e-02,5.276630515917252184e-02,-5.463914444870949794e+00,9.160683346064679711e-02,-2.643652714485543453e-03,4.857201508991690342e-02,-1.509901279415420267e-02,1.676184908302005838e-02,4.033834947529998938e-02,9.757419893115869269e-03,-4.104483818932814998e+00,-2.171524123865602521e-02,-2.655665138300257466e-02,-5.806067144072924791e+00,-3.964913583362561056e+00,5.435336122468068965e+00,-8.700648854285706335e-01,1.092440034943358874e-02,-1.390376551109762451e-03
1.034266852495158595e+00,-2.529472264658357006e-02,-7.604424317595365190e-02,1.283763602899888667e+00,9.237424551549638929e-02,6.129293422434123340e-03,3.555064566075226418e-02,2.260194136820668775e-02,-3.595756931240481902e-02,-1.155157215139410165e-03,3.317392252739174985e-02,1.807553965873376356e+00,2.971037580297983260e-02,-3.350846402302685989e-02,2.705693006653643096e+00,-9.308666806066945298e-02,2.947583086274841335e+00,1.241365133428169898e+00,-7.981231038133248384e-03,8.575290327959578934e-03
9.633081785950048381e-01,-6.948701409746571578e-02,8.341565074844539684e-02,2.244155773763116812e+00,6.175967070509039147e-02,4.561856219221209485e-02,-4.946079152705781801e-02,-2.338051846328223146e-02,3.077526288486447104e-02,-4.973476892518743919e-03,2.879896920241638292e-02,-2.651838224308495029e+00,8.555390877613998357e-03,2.812888167456487065e-02,2.393554966195033273e+00,-4.114532633211169355e+00,-2.473257070343313657e+00,1.405605327870029342e+00,-4.920883758029381480e-03,-7.666213116472687245e-03
1.072027207508280844e+00,7.614406383020153046e-02,-5.346250912105990349e-02,2.526926799216063557e+00,-5.654131483711510864e-02,-4.173587833914438328e-02,1.803828295998327613e-02,3.827637549903117886e-03,-1.267145113739405471e-02,-3.937883830478083880e-02,1.336235354159276412e-03,3.818485682340210019e+00,2.694107746490352617e-02,-2.380133728451618025e-02,4.091127089760284719e+00,2.134742433796091632e+00,-3.315100329239506038e+00,-7.664069738773562790e+00,5.351388264048085805e-03,-5.043740972162320813e-03
9.431188211760774820e-01,-7.907959050634374987e-02,8.034429832270542637e-02,-6.403960752559992642e+00,-1.532235580962433563e-02,4.457721311528965724e-02,-3.915453837774932055e-02,-4.818569422158450188e-02,-1.742654537674537263e-02,4.060122807392957389e-02,-4.004500595902896198e-02,-2.885536396440047113e+00,2.809908170880247302e-02,-7.758127620132448943e-03,-2.890363870522072887e+00,-4.120646324825512963e+00,-5.636563319223720114e+00,3.985831901603518190e-01,1.140216227764897887e-02,1.351099960378458753e-03
9.206066863653427079e-01,-1.168271895856594356e-02,-2.861846269434845103e-02,-3.236404107533266128e+00,-7.921766628232972118e-02,4.730623135290877579e-02,-3.291815000286969772e-02,-1.405806046523329356e-03,-3.965060832347027525e-02,-4.942245638102071154e-02,4.668179979220596354e-02,-2.116230441690660768e-01,1.961742316423892296e-02,-1.514901657892440967e-03,3.036762621931217154e+00,5.544185276119016237e+00,4.474978838623741240e+00,9.597530081917042821e-01,2.842766423237696669e-03,-7.060380875152441615e-04
1.077761182807627671e+00,1.730496853633700649e-02,-6.768597364186768051e-02,6.658897862212619145e+00,3.292879837305068280e-02,-1.336394881349626390e-02,-2.888856604147680557e-02,4.144377369272182754e-02,2.944683300813502602e-03,1.920040603397360490e-02,3.298028158748342320e-02,-1.330620077144137881e+00,2.046362008949971500e-02,-2.925543460268829193e-02,9.905156368829644009e-01,2.644252219340007315e+00,2.551165125526431154e+00,2.956681270741144729e+00,1.877618734510234921e-03,5.365991630100774151e-03
9.385249317523972623e-01,9.056402053941980945e-02,5.964852542727400175e-02,2.073256531856085161e+00,1.111137996292227426e-03,-2.874271747751550032e-02,-2.143652853912302383e-02,-9.463664357234412294e-03,4.555945806039003732e-02,2.586018878085587225e-02,3.987749384862109003e-02,4.949915309497006533e+00,-9.484544878356815367e-03,-2.283400571651539313e-02,1.303108590796602684e+00,-2.724974802093829140e+00,-6.635648505148061815e+00,5.270273633613067332e+00,-7.006117680893739035e-03,-1.478608462848590537e-02
