car_size,car_width,car_len,ramp_angle,front_bumper_length,wind_screen_x,wind_screen_z,side_mirrors_x,side_mirrors_z,rear_window_x,rear_window_z,trunklid_angle,trunklid_x,trunklid_z,diffusor_angle,car_green_house_angle,car_front_hood_angle,car_air_intake_angle,tires_diameter,tires_width
8.849804933992163614e-01,7.831728595419482075e-02,-4.267277074559408523e-02,5.631146642338341834e+00,-8.232852159609269083e-03,-4.347054887663026612e-02,2.979190673750332918e-03,-2.436526405811299117e-02,3.978046907140292410e-02,-7.180372346587658716e-03,-4.474950443976442177e-02,6.122181345867971913e+00,4.193839686668458799e-02,2.862440800880310110e-02,7.461121930720121753e+00,-5.338287975178653610e+00,-3.950519640198475457e+00,7.465965381417618119e+00,8.010604972387301917e-03,3.947544315765088435e-03
1.073849569900220846e+00,-2.686565717781756735e-02,-2.465592170736211064e-02,-4.735997929137603535e+00,5.640312815070377961e-02,-6.566696615824062222e-03,4.330741811240827743e-02,3.520552518603978220e-02,-2.634841178471699838e-02,1.022618359097823143e-02,2.452435662607124756e-02,6.484384459155005942e+00,3.276626336788117377e-02,4.599081896550384629e-02,2.587013825479903772e+00,4.025743993223494854e+00,5.401277313564229132e+00,-3.121948582488208501e+00,1.261299415954445120e-02,-5.101775280209608354e-03
1.067999211189530229e+00,-5.920200935187525104e-02,4.464903602616268619e-02,-6.627128755031803209e+00,2.375338858156357535e-02,4.453107029654922167e-02,-1.390575673350613606e-02,-1.986598258490915314e-03,4.404206331998643253e-02,-4.302814358772221598e-02,2.965959124030984051e-03,-6.488061204911192092e+00,-5.086723160821635115e-03,1.591508350586955112e-02,5.448391395095210754e+00,1.290146486805388903e+00,3.922758988285778514e+00,7.518633393529007947e+00,-2.863859104437746494e-03,-8.288347617278958579e-03
1.134126227734728598e+00,3.031327330742897286e-02,8.622253323365555722e-02,5.538815643538098854e+00,-5.918052509433631425e-02,-8.961706756268471297e-03,1.740562682195392896e-02,-2.478513172994427707e-02,2.691824948961085706e-03,2.848980130364239804e-02,2.409678153989217031e-02,-3.977988087191620892e+00,-1.260360963989350103e-02,-4.428302418796484230e-02,-6.233374128079573140e+00,-5.007663193181759453e+00,6.239265985672943771e-01,-3.594622211074874230e+00,-9.181034304386003625e-03,-2.186998708477886494e-03
8.943678772096249618e-01,8.901751752740055812e-02,-6.993255571116166469e-02,6.569765547644175641e+00,5.956838658233346018e-02,-2.538238584919644270e-02,-3.077238770426893311e-02,1.415410440894601662e-02,9.004041651612372521e-03,4.596728399627644790e-02,4.092324701520531904e-02,6.150847743401536505e+00,3.951371525685996866e-03,-6.683626758252472766e-03,2.022696499635262768e+00,7.249380487592173239e+00,4.433175214696060351e+00,4.702781407126090940e+00,-1.085736169750099733e-04,-2.464421118238538377e-03
1.094878752208051198e+00,8.104053606123123865e-03,5.900250831102016313e-02,4.591149863596713843e+00,6.700800796369033030e-02,4.387806338124018712e-02,-4.398241983855775278e-02,-4.561740128846171471e-02,-1.671410230887276221e-02,3.890432941400605305e-02,4.721695095460057279e-02,1.036669016742683525e+00,-1.675229986790593983e-02,-2.511190812861163746e-02,-6.194777511892766597e+00,-6.776417982650986715e+00,-5.296864920804276622e+00,2.496446679760133236e+00,2.303867444842722795e-03,-3.685446715873386819e-03
8.330575830413146088e-01,-1.811235009646001981e-02,-2.489605625811142087e-02,2.387847064000403918e+00,-7.735464530889460399e-02,-2.738577511176666646e-02,-2.204110060189780340e-02,-2.108279401275395953e-02,-1.307687972094338097e-02,8.434828542413300156e-04,-6.143178395481729837e-03,-5.589957206222793573e+00,-5.573208008900931709e-03,-3.021080995283733847e-02,-6.154645907160711360e+00,-3.310215145006107917e+00,-2.942722830058876582e+00,4.839931662359566289e+00,-5.422481944792776828e-03,1.153543691965162529e-02
1.131624308908156573e+00,1.139440588751108874e-03,-1.779708679901730040e-02,4.712853979212152211e+00,4.820324112367962988e-03,-4.142563103137866798e-02,-2.873162973537505410e-02,3.199390237988126995e-02,3.443895411772965320e-03,-2.080862126327396450e-02,2.936303725024737299e-02,-3.619254674251084936e+00,-3.528429928402063154e-02,2.832132659389791085e-02,3.282086117581997087e+00,5.495088670149771204e+00,-6.371142475127420823e+00,1.972823956025679948e+00,5.878386334667988836e-03,5.762825662358101592e-03
1.118994176008155650e+00,-5.361864892363824020e-02,-4.330331851659921516e-02,-3.922329652697431612e-01,6.756139950825695850e-02,-4.403119661424386572e-02,-2.915626336873602606e-02,3.624828018381973105e-02,4.315351011274334847e-02,9.582579014171109522e-03,-2.505638321587318196e-02,2.062582145387867882e-01,3.716187804821489971e-03,-1.703728685351443839e-03,2.092771787809761364e+00,6.056205445242122565e+00,-4.698635972569963570e+00,7.908263214713530331e+00,9.262762463576506081e-03,-1.394244662335334360e-02
9.289749537617700836e-01,4.896689356528982628e-03,-7.106782764651241313e-02,-6.314373529684756292e+00,-5.514011235716209658e-02,-3.729796369303008119e-02,-1.388056841942854336e-03,-2.071135210819831374e-02,-4.189826535983903755e-02,-1.318009354937663830e-02,3.032153198701026398e-02,7.167076054442821587e+00,-1.635186957703715221e-02,2.162068309703460423e-02,-5.000540622417481984e+00,-2.537638085294132040e+00,2.729002593335858151e+00,4.966189519695092258e+00,5.865207488828077728e-03,-4.366469399334157314e-03
1.110090619359227260e+00,7.712191347097349658e-02,8.025484992356293756e-02,-6.968563913309678171e+00,5.267154242272792386e-02,-1.112271938876602251e-02,-8.641719406287676208e-03,-2.780832903476067319e-02,3.877825593931792658e-02,-3.699176978276527694e-03,-2.576406501453229470e-03,7.965129983609010367e+00,-2.431626223408384080e-02,-2.700662531821883608e-02,3.695167995721647003e+00,-5.550867450296973260e+00,-5.070117773811201545e+00,3.535205928114857343e+00,9.155375506639149355e-03,8.736668055059310795e-03
1.002973474138584731e+00,-5.228403794488159506e-02,5.686056446481863036e-02,1.674545922136644549e+00,-6.279304467810109536e-03,6.059809712480025701e-03,-2.820674405880154931e-02,2.931113911798942373e-02,4.873530739388075295e-02,-3.999696773118258802e-02,-1.568189453114596926e-02,3.820221909850598507e+00,2.632838396326574182e-03,-1.803543412524446360e-02,-7.677714099084500532e+00,-4.335359367766329797e+00,1.811826752784730488e+00,-7.040991636765975059e+00,1.118359654618035666e-02,-1.490047791914057666e-02
1.116874084160307534e+00,5.176672066707890818e-02,-3.023511634667935821e-03,-4.018064068796320498e+00,8.947758803459668342e-02,6.928993769774294265e-03,4.366069211990968035e-02,3.521418332470876988e-02,1.891950248797799605e-02,1.427121226817179567e-02,3.336760171848279777e-02,-5.466178875904841306e-01,2.612164991853779816e-02,-3.968119862247446866e-02,7.092094317938979486e-01,7.409636619589104356e+00,-4.198832259911867482e+00,4.780270677188450890e+00,1.457857837952299465e-03,1.570247491742855078e-03
9.202447981715601300e-01,-4.889623334889126038e-04,8.788993613195275612e-02,1.297880769916281096e+00,-8.512220608411635858e-02,3.791384333655591077e-03,3.555828005317417106e-02,1.164672847013655671e-02,5.909704900861414978e-03,5.519326204219174303e-03,-4.073962221738110234e-02,-1.380131675813984771e+00,5.005040051745193730e-03,-3.756400909516682124e-02,5.103569356461575168e+00,-3.853568543590551343e+00,-1.415842372779462011e+00,-1.632567099044843317e+00,5.954594923458129963e-04,-3.848274136280388502e-05
1.170258726001912386e+00,-8.623004920916464699e-02,-8.433307116876452569e-02,-1.534023654807953108e+00,3.389184455125676676e-02,2.989022000363347753e-02,-1.964589797668344837e-02,1.731194831733959272e-02,-1.841721639681823813e-02,-3.532265661549424673e-02,4.114737757557936082e-02,-1.092791104187170959e+00,4.860049914772290869e-02,5.285629862390270328e-03,-5.494018677015422014e-01,-3.802395188804437609e+00,-7.039642802608579331e+00,-5.271158655654991421e+00,-1.271267494853350194e-02,-8.229347505381852390e-03
1.165832588137028392e+00,-4.045063317819028864e-02,-4.928032719728303590e-02,-3.254973313481075436e+00,5.585295745000068424e-02,-4.252286216567269239e-02,1.596924943467775693e-02,9.607505229972598815e-03,4.527381776394001633e-02,-4.946907020165459967e-02,-1.524881505413366867e-02,6.072492958374535732e-01,-4.947302895719427052e-02,2.460877377759775053e-03,-7.985914907092803716e+00,5.841165811110428763e+00,-5.978867103912547165e+00,4.455803725039880092e+00,-2.358776317952317181e-03,-5.850264816286240843e-03
1.012417678470028282e+00,-6.495255106659222899e-02,4.597001376951534435e-02,7.532915572252427694e+00,8.406131150113366202e-02,-3.958199818400159886e-02,4.677216745545738352e-02,-9.288271286968394214e-03,-1.724406439245018685e-02,-1.024554382916983281e-02,2.792768290484193283e-02,-4.004222393420009851e+00,-4.830755271297389186e-02,1.452977134202655674e-02,3.430404295308219886e+00,7.748673165402058416e+00,3.221051681320616922e+00,7.596995568023656276e+00,-1.094574187737705831e-02,-3.067360342156459294e-03
8.995803998514927402e-01,5.733886085818765133e-02,-4.262887061016105289e-02,5.671180181251548547e+00,-8.892184601921700182e-02,3.362475776530692018e-02,-1.342353833280539310e-03,4.793867826676521948e-02,-4.633293408305159261e-02,1.209141026534817781e-02,3.445366959026723019e-02,2.812085065340871992e+00,9.279222778432370811e-03,2.370076285139151306e-02,-4.574344678936824948e+00,2.210833186335667833e+00,-6.429339119836228633e+00,-2.437888233171516816e+00,-6.358512943956253632e-03,-2.137199918662811837e-03
1.048611168515760861e+00,4.575170705745751354e-02,1.679534018666992146e-02,-2.910967929335523507e+00,-7.021848712322814601e-02,1.171028145904320916e-03,-4.316663221938106532e-02,8.618469213860426026e-03,-4.224970923719515575e-02,-3.358794083837313149e-02,2.311603743164727942e-02,4.369842501126923295e+00,-2.015363309348396081e-02,-4.823579356838282595e-03,7.275286779080071042e+00,-1.446187224699627905e+00,8.980488706816291966e-01,-4.486757511270186072e+00,7.587869323997629631e-03,1.392255286839741771e-02
1.070118230039639906e+00,-1.331620061826355172e-02,6.550386224905632715e-02,-7.813881561721581548e+00,1.788033397744437369e-02,4.441109556894148880e-02,1.823929295785754745e-02,3.175802126251191237e-02,-1.386351700888027727e-02,-4.698712346539142548e-02,1.407624668472452767e-02,1.568452894091793226e+00,-4.950737680401821189e-02,-1.209518371599820064e-02,6.810600969303820307e+00,-3.943113824417531887e+00,5.128744980250591112e+00,2.504720569503648520e+00,-4.975835969330931127e-03,-1.074088501510107353e-02
9.973746168092331166e-01,7.013741806837628379e-02,-1.506595306700053705e-02,-2.997346894531116135e+00,-8.649570336586770436e-02,-1.033508026428250903e-03,-1.336801739749658019e-02,-3.348231181676143697e-02,2.988160152892994914e-02,4.541104157186937051e-02,-3.417069449537096792e-04,-6.809350788682829503e+00,-4.389219874213043382e-02,-1.188473893708889839e-02,-7.593553380287925592e+00,-2.755981713450417203e+00,3.214784091053251913e+00,3.278467435960253695e+00,1.048196728757409997e-02,-1.478454435457948052e-03
1.101735448723148991e+00,-6.604192829072860760e-02,-9.424370526090186662e-02,9.263647407447432869e-01,3.764896868106526462e-02,2.671916046471282946e-02,1.971853208639212651e-02,-3.023139664938262472e-02,-4.583467944317964199e-02,-4.136970562063115031e-03,-2.053125790014746072e-02,2.925758600572592627e+00,3.316480755919383461e-02,-4.540881336982865307e-02,-2.290664915486054554e+00,6.630542655276254749e-01,-7.679882810291610795e+00,6.816342858460854970e+00,-3.998560731410045338e-03,1.046791939182482520e-02
1.129199914131050919e+00,-6.959898394098607000e-03,-2.170283400747678726e-02,2.943111571937233606e+00,1.341611221703964407e-02,4.784815541163398023e-02,4.402080283166734387e-02,3.197998717881249398e-02,-5.151365875900024149e-03,-7.788614968051631171e-03,-4.498211281640003556e-02,3.331697495300195655e+00,-2.138633736401600663e-02,-8.165837202703474240e-03,-5.683788376925544839e+00,-4.027367226451481486e+00,-7.661790524881764597e+00,-4.825460292959141029e+00,-9.768933334991746625e-03,1.417221055616513237e-02
1.038462499063688371e+00,-5.593576930264263641e-02,3.493505122512749472e-02,2.202956131463622569e+00,-3.102512285905993650e-02,1.144225591845958456e-02,-2.251763322822340069e-02,-3.808402626600492641e-02,3.524453900889815139e-02,-2.496574070131195658e-02,-3.585836322073684967e-02,7.885263581356321438e+00,-4.181976654587718500e-02,-3.589737478429843448e-02,-3.308594604356935420e+00,-4.296509607216899340e+00,-3.057279106601269447e+00,-5.709474945534694257e+00,1.284507016442742490e-02,-5.604195360164914569e-03
8.844716542106092483e-01,4.309998657541880274e-02,-9.831966180742712780e-02,7.407194261021695425e+00,5.807191807342521050e-02,3.940911159830988442e-02,4.740441172210931031e-02,2.549746266827120078e-02,-3.426593647126993658e-02,-3.893873303315888157e-02,2.321519279968042859e-04,3.138329474307887779e+00,1.107853542322267959e-02,-2.758439513316511896e-02,-2.656070735148599482e+00,-5.685223907281395483e+00,-7.122329972054886937e+00,5.984535726916059062e+00,2.229964523024572515e-03,-7.998851558030425218e-04
