car_size,car_width,car_len,ramp_angle,front_bumper_length,wind_screen_x,wind_screen_z,side_mirrors_x,side_mirrors_z,rear_window_x,rear_window_z,trunklid_angle,trunklid_x,trunklid_z,diffusor_angle,car_green_house_angle,car_front_hood_angle,car_air_intake_angle,tires_diameter,tires_width
1.154916793023060162e+00,-3.561163702480156512e-02,-4.368491189648109757e-02,4.209015671837795125e+00,-8.820996646092482685e-02,3.566314883939940283e-02,-1.929305831111155500e-02,-1.828969671593551338e-03,1.840384495970578960e-02,-4.979702563119992043e-02,2.832022896405002321e-02,-2.887454360404815290e+00,1.193251670740251569e-02,-8.185912935321837391e-03,-2.602286316441873026e+00,4.545239115615002490e+00,1.201436712865685763e+00,2.550915716325231841e+00,2.837797460275256686e-03,-5.426990875227560157e-03
1.000959654899086892e+00,2.338883168103481069e-02,6.656883394600895953e-02,-6.825473786951235411e+00,3.861900113177230143e-02,-2.691485504896642608e-02,-2.559744254610106864e-02,4.432266713988332330e-02,1.654980252697543786e-03,-1.899841707926198942e-02,-4.712791947299058148e-02,-8.727048423387380183e-01,-3.060382650800831661e-02,-4.911497199950714404e-02,1.527940225634729643e+00,-1.980766404520586832e+00,3.518678647558459716e-02,-4.287670309740139629e+00,1.239063602011782235e-02,-1.411699746030255741e-02
1.127173198304342261e+00,5.795963665955597421e-02,8.739083729291013958e-02,-3.718715539526375125e+00,3.534723575045500832e-02,-2.152660853613044475e-02,-4.043558469797146199e-02,1.763582523602125196e-02,3.933463646956791848e-02,3.414874877656980112e-02,3.820534768251505897e-02,-5.692873627816982918e+00,3.733252475276721549e-02,2.161099088944413993e-02,-6.384107855367727069e+00,3.574796647524696169e+00,5.534169084213669265e-01,-7.812543733917523880e+00,8.286677465350293995e-03,5.655404417096686343e-03
9.617819876291686665e-01,2.059431697036055720e-02,2.814195860424659190e-02,3.165998841843318701e+00,-6.149097570860473372e-02,4.920538228018821181e-03,-1.744591173141941953e-03,-4.844176857012483239e-02,3.613903448638061677e-02,-2.880325955678444613e-02,4.787499860298459475e-02,-2.223597530017151769e+00,4.069803880017285047e-03,-9.463678981869859397e-03,6.409717189517879277e+00,2.718568709728161892e+00,5.709385128011261301e+00,5.123623831790565575e+00,-4.601340474385333737e-03,-1.009873873079025416e-03
1.171500084846840428e+00,8.820715986567148614e-02,-8.663988974532133014e-02,-7.744943095689219348e+00,4.436364298905651204e-02,-1.070813524269563499e-02,-1.228583268754569746e-02,2.739118548216612492e-02,-8.747430214070053833e-03,4.466897203799377603e-02,-3.261807647580917957e-03,-7.854021364045795650e-01,2.074056065178826735e-02,-8.604727651518005727e-03,7.091800597669426054e+00,3.994112723204947812e+00,1.871882284312700762e+00,1.966622666358905036e+00,-5.635514599024080661e-03,-9.403858820181314540e-03
1.085637013295692066e+00,-4.150875751814762232e-02,7.587265016640912241e-02,6.130399756205076045e+00,4.804340661962411274e-02,3.771931621510199450e-02,-4.346463153415998371e-02,2.697388992600489865e-02,4.951667210874723113e-02,-7.424555702740753826e-03,1.704208023876213618e-02,3.465110039397595543e+00,-1.071765084820236469e-02,-4.549412906931390999e-02,-2.752625568684926805e+00,-2.301622323670297732e+00,3.914565161686844874e+00,1.237888167608428347e+00,2.160023629282550178e-03,7.539745488990824002e-03
8.035266418533641986e-01,2.767187598737411158e-02,4.286910538149918404e-02,1.819442013913223022e+00,7.131977555046406514e-02,-6.145663290128410006e-03,2.356160454413137872e-02,-4.757884486004305968e-02,-4.171909996940462162e-02,-2.908810627034866952e-02,-1.163301022513526378e-02,-3.919210401091541840e+00,3.317702181152941410e-02,-7.053686156409319508e-03,4.060347436938457122e+00,2.756644767340755919e+00,3.225614245125397517e+00,5.085442889025381774e+00,1.018906230188679728e-02,1.239152585808906901e-02
9.926843644988361248e-01,-1.372210844315688294e-02,3.433779368099662554e-02,-6.448635165775904454e+00,2.403504231861697260e-02,-3.530898809290063112e-03,-1.904420197723725311e-02,3.737479391506741411e-02,-1.496936124474157470e-03,-4.534463638473748559e-03,4.904351854403707356e-02,2.214717678785637744e+00,-1.175495008147503517e-02,3.620268305534135589e-03,-7.288845617299779533e+00,1.422315982152664304e-01,-2.353940122326989126e+00,-9.005259311711917292e-01,7.614940593611169498e-03,-6.423113686549752205e-03
1.051889567596428154e+00,-5.033929715191829551e-02,-2.641347911815793148e-02,-8.641715512078746997e-01,5.465575467257174913e-02,-1.463667722961151108e-03,-3.438360606971984507e-02,3.314470138351306716e-02,4.985010986875830497e-02,4.661575114391891539e-02,4.181227375874695118e-02,-5.103946486036241126e+00,4.067604348424164185e-02,1.287757708127965084e-02,4.359163824870575965e+00,9.001977132486196354e-01,5.333189474041896361e+00,7.825496026661905802e+00,-9.652744538569561772e-03,8.799065476655085205e-03
9.406384675251163729e-01,-4.832452748121385255e-03,4.038119548142121706e-02,2.424334193588205011e+00,-1.482614873173937475e-02,4.042211504700496394e-02,-5.883172211460084566e-03,-3.757707811680528753e-02,-2.436740906664647266e-02,-1.909488217979718114e-02,-5.120917124545563970e-03,-3.503882352244502840e-01,-1.564850963970974146e-02,-7.594705043533211963e-04,3.848127252022255362e-01,-5.876126954799017810e+00,-5.017444281875938827e+00,2.689093563134969500e+00,1.674528160841366048e-03,-3.500369956631974727e-04
9.451626716048935339e-01,-3.331025881789351217e-03,-3.123009873998176811e-02,9.462925459380659987e-01,2.887190315401103047e-02,-3.126486864854569753e-02,1.336585116818325703e-02,-4.710719271578453493e-02,2.390472247238890902e-02,4.480842331770838738e-03,-4.382691658028697174e-02,7.763103282339610445e+00,-4.767718656495824325e-02,3.857736130542446795e-02,-2.234448936055475343e-01,5.784466296422241527e-01,2.731190190412679186e+00,-1.285842767414187904e+00,1.089022634428327314e-02,9.106203958590214365e-03
8.595099720452917813e-01,2.192666975507373550e-02,9.567919607713762375e-02,-1.173660775042216997e+00,3.131250453755005103e-02,5.337871926967038827e-03,4.026139247682188060e-02,-3.740345523571314557e-02,-1.831561933505421180e-02,-4.467358227326280462e-03,-2.465925815359551465e-03,-2.535313600238833232e-01,-6.239488143421137445e-03,1.654613890536961451e-02,6.252312471375581993e+00,-7.075549132245450679e+00,-4.601445631318075158e-01,-2.141462076167570672e+00,-1.267101093141733900e-02,6.861296650221806320e-03
8.010850296168712248e-01,-2.282509684538894246e-02,2.331469562759011516e-02,-3.886751650244161027e+00,2.970445572643307108e-02,4.487655372555232614e-02,-1.933075113458096114e-02,-3.121565640915979767e-02,2.380486514070220827e-02,-3.112543447503113292e-03,4.037390298450406478e-02,7.432797242131508497e+00,-2.193838816857270058e-02,2.585172006422550850e-02,6.291577233641023170e+00,-4.802070342845077278e-02,-6.536661172612241444e+00,7.548279178776150289e+00,-1.772519423395842869e-03,-8.761151088995493275e-03
1.174378952000154630e+00,-4.257173511922474063e-02,5.516213528751021111e-02,-2.033472150735029516e+00,4.845403064573541863e-02,1.127789267524421934e-02,-1.986493857011269182e-02,-6.884003428792681567e-03,-5.179163893036103916e-04,1.796883562758552766e-02,2.398832847035117788e-02,7.754652148429254765e+00,7.579159633082296899e-03,-2.286122738958673573e-02,-3.467922881118807865e+00,2.650925607242122339e+00,-4.042052984192761045e-01,6.865643947208665665e+00,-2.148631717539635153e-03,-1.210671033520957507e-02
8.097503494381145250e-01,-1.895533688822041707e-02,-8.989317531057235133e-02,2.235143727926702795e+00,-6.298962162665583397e-02,-3.514851573823373626e-02,1.932945405420247176e-02,-1.276062420831430844e-02,3.053388745283246164e-02,3.694217691965703820e-02,-4.248904342830511771e-02,3.788629397178901570e+00,1.399706771466906197e-02,2.659400108430985676e-03,2.669319072240622148e+00,8.287576019277711481e-01,-5.202659542028994721e+00,-4.971979482220426405e+00,-5.462551779561556319e-03,9.679163197615577724e-03
1.100944437455223301e+00,-5.930390378555430719e-03,2.480600379195821437e-02,6.246622820124850151e+00,-8.961087374940722439e-02,4.131835583533205458e-02,2.013594638052655650e-02,4.505724919099107773e-02,4.843164821757708904e-02,5.316944036271163687e-03,-1.056214991907875045e-03,-9.487287882533799177e-01,3.027258153860251655e-02,-2.679194314992464770e-02,2.342164687791848721e+00,2.032425790920468600e+00,3.053831576769820089e+00,6.884507187107525183e+00,6.832408610339228694e-04,6.140134466519626966e-03
1.167246179002998430e+00,-2.586483646382670143e-03,8.319492699355218734e-02,5.267048533064716764e+00,-4.171105830260952996e-02,-4.118225248262732952e-03,-2.087029993134907960e-02,-4.022770462943885822e-02,-3.678159097073727818e-02,-2.758994101280118003e-02,-3.105354095884262089e-02,-7.889405239192116781e+00,-4.718582918700366113e-02,-3.880761385568312627e-02,2.411116806779670441e+00,-1.427662486976540634e+00,2.339364544702517534e+00,3.452785554096999832e+00,-8.159328047686820184e-03,-1.077971980320796205e-02
8.819337115431711283e-01,8.884040727119579817e-02,8.549846753719370085e-02,-3.159104645291780145e+00,7.861306698092482281e-02,3.192892987414504280e-02,-1.512107462478747000e-02,-4.583535247369044385e-02,-1.195236976446741733e-02,3.777190069991956389e-03,-9.831005320202937381e-03,-2.150404089025288457e+00,-8.389828353674300132e-03,2.707154969316406812e-02,7.127822462380047241e+00,-5.123507185868806602e+00,-3.665025290859272644e+00,-6.261750704078252738e-01,-1.277807278970544830e-02,1.167571361258029627e-02
1.182672536401997432e+00,-5.537273579168562609e-02,-8.335791975732859127e-02,7.743665017158280151e+00,5.271553299054440589e-02,-8.718079806734904680e-03,8.148163635135111105e-03,-4.954010268402830874e-02,4.076395399910071049e-02,-3.726666126142929442e-02,-4.125707925498659639e-02,6.411630565004427851e+00,4.656879681873127286e-02,2.418722291647763811e-02,-7.855118608313043538e+00,1.686334572565629131e+00,4.195677967258568231e+00,5.017384491517447032e-01,-8.481353596903214859e-03,1.648732476974036631e-03
9.144153761067820296e-01,-6.788059220754341649e-02,7.328004000311849619e-02,-6.550422411039562576e-01,4.803209013736609023e-02,-3.946917850542382145e-02,2.546304087245059022e-02,-7.449024765421176364e-03,-2.216373451078924861e-02,-3.546251779834422302e-02,-4.058928892155774792e-02,2.114476537188577865e+00,-3.438665642774521580e-03,-3.702758708437427215e-03,2.672157029937762829e+00,4.572591005616937210e+00,3.891890696866340704e+00,-2.363547604639979482e+00,-8.307709937090701838e-03,-1.111340799829759439e-02
