epoch,step,train_loss,val_loss
0,2999,,0.6645041108131409
0,2999,0.71437668800354,
1,5999,,0.5979961156845093
1,5999,0.6185423135757446,
2,8999,,0.5776533484458923
2,8999,0.5788565874099731,
3,11999,,0.5501664280891418
3,11999,0.5503841042518616,
4,14999,,0.5353915095329285
4,14999,0.5344211459159851,
5,17999,,0.5250490307807922
5,17999,0.5234984159469604,
6,20999,,0.5140224099159241
6,20999,0.5124568343162537,
7,23999,,0.49711328744888306
7,23999,0.5004302859306335,
8,26999,,0.48411136865615845
8,26999,0.48682156205177307,
9,29999,,0.45668283104896545
9,29999,0.46765804290771484,
10,32999,,0.4563162624835968
10,32999,0.4539201259613037,
11,35999,,0.4455784559249878
11,35999,0.4445224702358246,
12,38999,,0.4266379177570343
12,38999,0.4377281069755554,
13,41999,,0.4252017140388489
13,41999,0.4314066469669342,
14,44999,,0.42198726534843445
14,44999,0.4255247116088867,
15,47999,,0.41574087738990784
15,47999,0.4197833240032196,
16,50999,,0.41980183124542236
16,50999,0.41520267724990845,
17,53999,,0.412594199180603
17,53999,0.4108255207538605,
18,56999,,0.41077855229377747
18,56999,0.40665632486343384,
19,59999,,0.4114324152469635
19,59999,0.4035743772983551,
20,62999,,0.39442259073257446
20,62999,0.40041354298591614,
21,65999,,0.39318832755088806
21,65999,0.3971228003501892,
22,68999,,0.395082026720047
22,68999,0.39189139008522034,
23,71999,,0.3876599669456482
23,71999,0.38672468066215515,
24,74999,,0.38281258940696716
24,74999,0.38219088315963745,
25,77999,,0.3855156898498535
25,77999,0.3781369626522064,
26,80999,,0.3732895255088806
26,80999,0.37462955713272095,
27,83999,,0.37198665738105774
27,83999,0.37181636691093445,
28,86999,,0.38178107142448425
28,86999,0.369454026222229,
29,89999,,0.36876359581947327
29,89999,0.3674132227897644,
30,92999,,0.36573630571365356
30,92999,0.3656669855117798,
31,95999,,0.3676987588405609
31,95999,0.3642447590827942,
32,98999,,0.36343836784362793
32,98999,0.3626660108566284,
33,101999,,0.367454469203949
33,101999,0.36158719658851624,
34,104999,,0.3664190471172333
34,104999,0.3600664734840393,
35,107999,,0.36075520515441895
35,107999,0.35908243060112,
36,110999,,0.35735243558883667
36,110999,0.3577541410923004,
37,113999,,0.35831376910209656
37,113999,0.3566162884235382,
38,116999,,0.35713377594947815
38,116999,0.35579243302345276,
39,119999,,0.35611507296562195
39,119999,0.35477471351623535,
40,122999,,0.3591248691082001
40,122999,0.3537684381008148,
41,125999,,0.35206833481788635
41,125999,0.35284528136253357,
42,128999,,0.3527704179286957
42,128999,0.3522261679172516,
43,131999,,0.3592124879360199
43,131999,0.35145077109336853,
44,134999,,0.3597544729709625
44,134999,0.3505350351333618,
45,137999,,0.34890735149383545
45,137999,0.34991657733917236,
46,140999,,0.3498263955116272
46,140999,0.34934180974960327,
47,143999,,0.34967049956321716
47,143999,0.34811335802078247,
48,146999,,0.3471948504447937
48,146999,0.3477819561958313,
49,149999,,0.35852929949760437
49,149999,0.34714457392692566,
50,152999,,0.35373789072036743
50,152999,0.3463474214076996,
51,155999,,0.3440232276916504
51,155999,0.3458026945590973,
52,158999,,0.3438703417778015
52,158999,0.3453439176082611,
53,161999,,0.35061195492744446
53,161999,0.34495189785957336,
54,164999,,0.34197571873664856
54,164999,0.3438200354576111,
55,167999,,0.34221795201301575
55,167999,0.3431508243083954,
56,170999,,0.3421996235847473
56,170999,0.3426535725593567,
57,173999,,0.35029137134552
57,173999,0.342233270406723,
58,176999,,0.34248629212379456
58,176999,0.3412892520427704,
59,179999,,0.3405844569206238
59,179999,0.34061959385871887,
60,182999,,0.34300991892814636
60,182999,0.34014052152633667,
61,185999,,0.3397286832332611
61,185999,0.3392395079135895,
62,188999,,0.3511069118976593
62,188999,0.3392474949359894,
63,191999,,0.3362758457660675
63,191999,0.3386022448539734,
64,194999,,0.34191134572029114
64,194999,0.338210791349411,
65,197999,,0.3351541757583618
65,197999,0.3374682366847992,
66,200999,,0.3384914994239807
66,200999,0.3370639383792877,
67,203999,,0.3358306884765625
67,203999,0.3369635343551636,
68,206999,,0.33950281143188477
68,206999,0.33626022934913635,
69,209999,,0.3353378474712372
69,209999,0.33589571714401245,
70,212999,,0.34231463074684143
70,212999,0.33543914556503296,
71,215999,,0.34041881561279297
71,215999,0.33497416973114014,
72,218999,,0.3430624008178711
72,218999,0.3344876766204834,
73,221999,,0.33342456817626953
73,221999,0.3338524103164673,
74,224999,,0.33296406269073486
74,224999,0.3340470790863037,
75,227999,,0.33297204971313477
75,227999,0.33329707384109497,
76,230999,,0.33140677213668823
76,230999,0.33278796076774597,
77,233999,,0.3370480239391327
77,233999,0.33226218819618225,
78,236999,,0.3347308337688446
78,236999,0.3320636451244354,
79,239999,,0.3368014395236969
79,239999,0.3317078649997711,
80,242999,,0.3355230391025543
80,242999,0.33123165369033813,
81,245999,,0.329632967710495
81,245999,0.3307833969593048,
82,248999,,0.33119115233421326
82,248999,0.3305482566356659,
83,251999,,0.333932101726532
83,251999,0.3296234607696533,
84,254999,,0.3307972550392151
84,254999,0.32864946126937866,
85,257999,,0.32611802220344543
85,257999,0.3278783857822418,
86,260999,,0.33130139112472534
86,260999,0.3276917338371277,
87,263999,,0.3261871039867401
87,263999,0.3271821141242981,
88,266999,,0.32540765404701233
88,266999,0.3266107738018036,
89,269999,,0.32971328496932983
89,269999,0.32627764344215393,
90,272999,,0.3228687345981598
90,272999,0.3258771002292633,
91,275999,,0.3293333351612091
91,275999,0.3256755471229553,
92,278999,,0.3224746584892273
92,278999,0.32494574785232544,
93,281999,,0.32819050550460815
93,281999,0.3250085413455963,
94,284999,,0.32611390948295593
94,284999,0.32474619150161743,
95,287999,,0.3328429162502289
95,287999,0.32383793592453003,
96,290999,,0.3216763436794281
96,290999,0.3237360119819641,
97,293999,,0.32790690660476685
97,293999,0.32334908843040466,
98,296999,,0.3201332986354828
98,296999,0.32320454716682434,
99,299999,,0.319729745388031
99,299999,0.32290005683898926,
100,302999,,0.3255208730697632
100,302999,0.3224901258945465,
101,305999,,0.3281020522117615
101,305999,0.32225146889686584,
102,308999,,0.32509714365005493
102,308999,0.3218979239463806,
103,311999,,0.3251744508743286
103,311999,0.3219735026359558,
104,314999,,0.3216724693775177
104,314999,0.32150155305862427,
